title	originalTitle	sortingTitle	summary	platformList	myRating	criticsScore	developers	genres	publishers	releaseDate	originalReleaseDate	themes	gameMins	lastPlayed	tags	dlcs	isHidden	osCompatibility	backgroundImage	squareIcon	verticalCover
Ballad Heroes - Neutral Gwent Card Set	Ballad Heroes - Neutral Gwent Card Set	Ballad Heroes Neutral Gwent Card Set		GOG			TEST DEVELOPER 2		TEST PUBLISHER 2	2015-05-19	2015-05-19						False	Windows			
Banana Hell	Banana Hell	Banana Hell	Jump your way to get the blue diamonds as you try to survive a very annoying banana monologue! A REALLY HARD game!	Steam			Petriheart	"Indie	Strategy"	Petriheart	2020-11-07	2020-11-07				HighPriority		False	Windows	https://images.gog.com/a50ae473a347d68fd6ac25c0ffdda0b84a124bb853e1a046af30294c750da91a_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/c76011f1e2e78ea8310916ed72b8088b2c66c8a5b1c815adfa39b8872854451f_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/bd0ac441edebaf0cded227164b762ee1c9c69785fe24ea0e1aa8d5a9315d670d_glx_vertical_cover.webp?namespace=gamesdb
Bang Bang Racing	Bang Bang Racing	Bang Bang Racing	Bang Bang Racing is a distinct arcade game focusing not only on the speed but also on the technical driving skills. The very intuitive control system and the exciting tracks provide endless fun for everyone in the family.\n\nBang Bang Racing delivers fast-paced racing around every corner and down every straight. Drive high-speed, pumped-up racing cars through cones, tires and exploding barrels! Be one step ahead of your competitors, finding shortcuts, repairing your car in the pit lane, and dominating your opponents from the top-down view.	Amazon			Kalypso Media Digital	"Arcade	Racing"	Digital Reality Software & Playbox	2011-05-13	2011-05-13	Action			LowPriority		False		https://images.gog.com/a1b2e5512534f95359952f26502f50f9d801f3013e46d400be1fc4436a2ae75f_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/d3cfc9f592a0f7a5fb690d1bb931e67e73544245332b2e2283e566e9f9869f5e_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/fa372dd7d23566a139d6fde8a0de12910774a1da87360cdecd13369f94a7d58a_glx_vertical_cover.webp?namespace=gamesdb
The Basement Collection	The Basement Collection	Basement Collection	The Basement Collection is a compilation of Edmund McMillen's Flash games. The games were remade with added features and music tracks.\n\nThe games in the collection include:\n- Triachnid (2006), a physics spider simulation game\n- Coil (2008), an experimental game\n- Meat Boy (2008), a Super Meat Boy predecessor\n- Aether (2008), a space adventure game\n- Grey-Matter (2008), an anti-shooter game\n- Spewer (2009), a liquid physics platform game\n- Time Fcuk (2009), a dark puzzle game	Steam		80	Edmund McMillen	"Adventure	Indie	Platform	Strategy"	Edmund McMillen	2012-08-31	2012-08-31	"Action	Comedy	Fantasy"	23	2021-12-30 08:57:13	HighPriority		False	"macOS	Windows"	https://images.gog.com/f3c1efb4e212617820cf57e8d90fa137b78c857cc0542eff3e02a9cd5db9c6c9_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/f2fd574c8438986ce28a64e8c3f666e8b95f506d9ebee434add41ca721096cbe_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/f2fd574c8438986ce28a64e8c3f666e8b95f506d9ebee434add41ca721096cbe_glx_vertical_cover.webp?namespace=gamesdb
Bastion	Bastion	Bastion	A hack-and-slash RPG featuring a reactive narrator, various unlockable weapons, weapon upgrades, practice mini-games and optional difficulty modifiers, set in an imaginary world in the aftermath of an uncertain apocalypse, in which the player embodies a teenager with a troubled past as he and the narrator work together to rebuild the world out of a persisting hub called the Bastion.	Steam	4	90	Supergiant Games	"Adventure	Indie	Role-playing (RPG)"	"Supergiant Games	WB Games"	2011-08-16	2011-08-16	"Action	Fantasy"	239	2015-12-24 01:41:55	Ended		False	"Linux	macOS	Windows"	https://images.gog.com/b2a8230080dcf33f534467274353f641c625dd5e2ed7e466358dbf727a957eea_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/d508d6ca41d21cc768e0b95ef483117bc8c822825c2bd53e9cd57ddb3b0ec77b_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/24996642e2e47176b3b55109aa5598ede6441b6f2d7f5568f66d67974aa4a415_glx_vertical_cover.webp?namespace=gamesdb
Batman™ Arkham Asylum Game of the Year Edition	Batman™ Arkham Asylum Game of the Year Edition	Batman Arkham Asylum Game of the Year Edition	Batman: Arkham Asylum is an action-adventure game developed by Rocksteady Studios and published by Warner Bros. Interactive Entertainment. Released in 2009, it follows Batman as he battles the Joker, who seizes control of Arkham Asylum and frees its inmates. The game features stealth, combat, and detective elements, with players using Batman's gadgets and skills to subdue enemies and solve puzzles.\n\nSet in a dark, immersive version of Gotham, the story explores Batman’s psychological battle with his foes, including Harley Quinn, Bane, and Scarecrow. The game received critical acclaim for its gameplay, atmosphere, and storytelling, becoming a defining title in superhero video games.\n\nThe Game of the Year Edition features 4 DLC Challenge Maps, and a full copy of Batman: Arkham Asylum. It also featured the ability for the game to be played in 3D with the use of 3D pink and green lensed glasses.	Epic Games Store	4		Rocksteady Studios	"Adventure	Hack and slash/Beat 'em up"	"DC Entertainment	Eidos Interactive	WB Games"	2010-03-26	2010-03-26	"Action	Horror	Open world	Stealth"	71		HighPriority		False	"macOS	Windows"	https://images.gog.com/6ca1d99f3ad52525203055785eda27fab77f6be4807f8b238d861791e0bdd40d_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/c79c4818833b93d044a745dd31986ccd669fce9447352c87db9d4a78753984cd_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/bb5a5ddd6b967a80b17849ec26a54fa87b89881da15d693df5c23e6d21b3571c_glx_vertical_cover.webp?namespace=gamesdb
Batman™ Arkham City - Game of the Year Edition	Batman™ Arkham City - Game of the Year Edition	Batman Arkham City Game of the Year Edition	Batman: Arkham City - Game of the Year Edition includes the following DLC:\n\nCatwoman Pack\nNightwing Bundle Pack\nRobin Bundle Pack\nHarley Quinn’s Revenge\nChallenge Map Pack\nArkham City Skins Pack\n\nBatman: Arkham City - Game of the Year Edition packages new gameplay content, seven maps, three playable characters, and 12 skins beyond the original retail release:\n\nMaps: Wayne Manor, Main Hall, Freight Train, Black Mask, The Joker's Carnival, Iceberg Long, and Batcave\nPlayable Characters: Catwoman, Robin and Nightwing\nSkins: 1970s Batsuit, Year One Batman, The Dark Knight Returns, Earth One Batman, Batman Beyond Batman, Animated Batman, Sinestro Corps Batman, Long Halloween Catwoman, Animated Catwoman, Animated Robin, Red Robin and Animated Nightwing	Epic Games Store	4	94	Rocksteady Studios	"Adventure	Hack and slash/Beat 'em up"	"DC Entertainment	Warner Bros. Entertainment Inc."	2012-05-29	2012-05-29	"Action	Open world	Stealth"	212		HighPriority		False	"macOS	Windows"	https://images.gog.com/cc6cf434907bb1135a7e3c2f3ffc61a77db700556fbfbbdbdd3ab68ca4bc8072_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/ae5a7c6114a0b96a7e6c308b260b82a5005890bc0b218a2c7ebd293fb203e2cf_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/7758ab04a9d71783a9c334dfecf8449f91d2c6cc8f297774f4023c599c82b6a2_glx_vertical_cover.webp?namespace=gamesdb
Batman™ Arkham Knight	Batman™ Arkham Knight	Batman Arkham Knight	Batman: Arkham Knight is an action-adventure game developed by Rocksteady Studios, released in 2015. It is the final installment in the Arkham series. Players control Batman as he faces Scarecrow, who unites Gotham's criminals to destroy the Dark Knight. The mysterious Arkham Knight, a new adversary, aids Scarecrow in his plan.\n\nThe game features open-world exploration, stealth, combat, and puzzle-solving. A key addition is the Batmobile, used for traversal and combat. The story explores Batman’s psychological struggles and the collapse of his alliances as Gotham spirals into chaos.	Epic Games Store	4	92	Rocksteady Studios	"Adventure	Hack and slash/Beat 'em up"	Warner Bros. Interactive Entertainment	2015-06-23	2015-06-23	"Action	Drama	Open world	Stealth	Thriller"			HighPriority		False	Windows	https://images.gog.com/ba2c23d8b438d5bd151d48d754f1fbb74a9f0c0f407b386f358107cb9db7c243_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/489677631f66f4294c9a67d68f7fa66181312d8b39a6d31637d60ccea339c0e8_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/f7a189b066525de4455d122609ece940f61bee6f27afd9cd84e64da4400d3714_glx_vertical_cover.webp?namespace=gamesdb
Battlefield 3™	Battlefield 3™	Battlefield 3	In Battlefield 3, players step into the role of the elite U.S. Marines. As the first boots on the ground, players will experience heart-pounding missions across diverse locations including Paris, Tehran and New York. As a U.S. Marine in the field, periods of tension and anticipation are punctuated by moments of complete chaos. As bullets whiz by, as walls crumble, as explosions force players to the ground, the battlefield feels more alive and interactive than ever before.	Origin		85	EA Digital Illusions CE	Shooter	Electronic Arts	2011-10-25	2011-10-25	"Action	Stealth	Warfare"			LowPriority		False	Windows	https://images.gog.com/2b3a0fb47bf7da5e574964bb26083909da818678c3f6436d56293b9ff2735706_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/63823a2490fdddec427d078339e3aa2f80af5484b1a54e7f3c262951bbbd35b8_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/aa74541c2e598d5126fd65e2313bb36fccc944be6acfd4cd0b8058e4d0d3b9cf_glx_vertical_cover.webp?namespace=gamesdb
Battlestar Galactica Deadlock	Battlestar Galactica Deadlock	Battlestar Galactica Deadlock	Battlestar Galactica Deadlock takes you into the heart of the First Cylon War, to fight epic 3D battles that will test your tactical prowess.\n\nTake control of the Colonial Fleet from the bridge of the mobile shipyard, Daidalos, and free the Twelve Colonies from the Cylon threat. Build your fleets, protect the Quorum alliance and prepare to dig deeper into the conspiracies of this heroic conflict.	Steam		78	Black Lab Games	"Simulator	Strategy	Turn-based strategy (TBS)"	"Slitherine Ltd.	Slitherine Software UK Ltd."	2017-08-31	2017-08-31	"Science fiction	Warfare"			HighPriority		False	Windows	https://images.gog.com/7f03a41c3cff759c37514d915c7dab8c291c50a87652d79df93eecab1fb035f4_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/9d157bc1ebd1c0379601db9482fe313a7de337f91ace6e6abd170a2d87172f77_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/cbca193afce0ba4316815e9cd90e83edc1b90c756b633365f54d330968ec7900_glx_vertical_cover.webp?namespace=gamesdb
Bear and Breakfast	Bear and Breakfast	Bear and Breakfast	Bear and Breakfast is a laid-back management adventure game where you build and run a bed and breakfast...but you’re a bear.	Epic Games Store		75	Gummy Cat	"Adventure	Indie	Role-playing (RPG)	Simulator	Strategy"	Armor Games Studios	2022-07-28	2022-07-28	Comedy			LowPriority		False	Windows	https://images.gog.com/19cecb1499d9d5fe8c875f0e83583309deb1c8a20df60a3e97953854e0e888b7_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/6b4e1250fe973dabb3ab765bc87e731114e30d206bcc28a8347e3f016ec718e4_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/517cbbb8152387755dda9467383271017dac9d46a1d4ccc722e2e7075f83ced5_glx_vertical_cover.webp?namespace=gamesdb
The Beast Inside	The Beast Inside	Beast Inside	The Beast Inside is a gripping new twist on thriller and survival horror genres, telling a multi-layered story about cryptanalyst discovering a hundred-year-old murder-mystery that not only remains unresolved, but also puts his very life at risk.	GOG			Illusion Ray Studio	"Adventure	Indie	Role-playing (RPG)"	Movie Games S.A.	2019-10-17	2019-10-17	"Action	Horror	Thriller"			HighPriority		False	Windows	https://images.gog.com/0f073a16c90f7e1a1f255caf1b72135a5ef4632f7c89eda17c15d2f6444b2bce_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/3b9950c40b4aaeecfd467f96a2a2b379caad09a1089c718bb5a4d557a6e4051f_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/96cb33bf5b923024afe268994126dd010a099de643dc5ef586e1e9fa32d81095_glx_vertical_cover.webp?namespace=gamesdb
The Beast Inside - Amazon Prime	The Beast Inside - Amazon Prime	Beast Inside Amazon Prime	product_description_1353674058\n\nproduct_feature_1353674058	GOG						2025-06-02	2025-06-02						False				
The Beginner's Guide	The Beginner's Guide	Beginners Guide	A metafictional account of Davey Wreden, creator of the Stanley Parable (2013), who takes the player through the games of his old friend, Coda, while giving his commentary and interpretations of them, in order to understand why he makes the bizarre, often melancholic games that he makes, and decipher Coda's personality and inner struggles.	"Humble Bundle	Steam"		75	Everything Unlimited Ltd.	"Adventure	Indie"	Everything Unlimited Ltd.	2015-10-01	2015-10-01	"Comedy	Drama"			LowPriority		False	"Linux	macOS	Windows"	https://images.gog.com/ee7e861a4360ed35dabb880b0f2094133780f4ba3910c5eae40ea015a41003e3_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/76a3568e3cd54e8eee3b7c23714a1676b8b0ee3421caf8707b46863ee8564349_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/6624afd54532d4cb868ec3a6a1e7ee64acaba77ff349052a127193d90faeb03e_glx_vertical_cover.webp?namespace=gamesdb
Behind the Frame: The Finest Scenery VR	Behind the Frame: The Finest Scenery VR	Behind the Frame The Finest Scenery VR	A narrative-driven puzzle game about collecting, fixing and painting.\n\nEnjoy the scenery en route in the world of Behind the Frame, and search for the secrets within. Recollect memories in the time corridor, and savor some beautiful little moments.\n\nCombining escape rooms and narrative games, Behind the Frame presents a profoundly interactive storytelling of characters' emotions and plot development. With 360°panorama techniques and an exquisite hand-painted art style, the game takes you into the world of Behind the Frame.	"Amazon	Epic Games Store"			Silver Lining Studio	"Adventure	Indie	Point-and-click	Puzzle	Simulator"	"Akatsuki Taiwan	Akupara Games"	2021-08-25	2021-08-25	"Drama	Kids"			LowPriority		False	"macOS	Windows"	https://images.gog.com/d57bf01a920499c0d001aaa2848117618d12420fad32216ac685162d91acd88b_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/a3ab314cc9e311017e4ef1d56247a05cba74fea08b587f9b5ea669a5c149a410_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/dbcf6f5fad7ca70025900f562ca2f51f88f9e7f300076be9b04fc5d526dd6771_glx_vertical_cover.webp?namespace=gamesdb
Beholder	Beholder	Beholder	A totalitarian State controls every aspect of private and social life. Laws are oppressive. Surveillance is total. Privacy is dead. You are a State-installed manager of an apartment house. The State requires you to spy on your tenants, and report any illegal or subversive activity. However, you can also choose to keep the information to yourself, or use it to blackmail the residents, resulting in a multitude of choices and endings.	"Epic Games Store	Steam"		80	Warm Lamp Games	"Adventure	Indie	Role-playing (RPG)	Simulator	Strategy"	Alawar Entertainment	2016-11-09	2016-11-09	"Drama	Stealth"	8		HighPriority		False	"Linux	macOS	Windows"	https://images.gog.com/d40b2ee525c1afb08917eda6fa38ed1815a8939c265400b875c11fe3811a6b61_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/af09f78b12645703a8c13f0d78144932bf313f5ebec0d47305781103960cbcd9_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/14ec44d793ae48af6326dda0e428dc1ff06c95a852c3ca278a6a05936512af61_glx_vertical_cover.webp?namespace=gamesdb
Beholder 2	Beholder 2	Beholder 2	Every citizen of our great State dreams of working at the Prime Ministry!\n\nYou are lucky, intern – your dream has come true!\nWhile you are at the bottom of the career ladder, that is more than many of your fellow citizens will ever achieve!\n\nHave you already decided what you're going to become?\nWill you become a diligent and responsible officer decorated by the Wise Leader himself? Or will you become a hardline careerist capable of destroying anyone who stands between you and the Prime Minister's seat? Or maybe you are just a whistle-blower? If so, who sent you? And why?\n\nWhatever the case, you are now part of the Ministry!\nFrom this moment on, no one beyond these walls has ascendance over you! You are free to shape your own future!\n\nSo, what are you going to become?	"Amazon	GOG"	2	90	Warm Lamp Games	"Adventure	Indie	Simulator	Strategy"	"Alawar Entertainment	Alawar Premium"	2018-10-22	2018-10-22	Stealth			HighPriority		False	"Linux	macOS	Windows"	https://images.gog.com/d0f1f5ce9018bc9bcb9d3c74a4f4e3cead64a6bd69e2d8f84cd020cd50ee5713_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/3e9245a192e59e212439e2a55ae99ed13798ba415b5d14742bb915c19e2c8755_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/b964138274b2e33439f4f2262729483cdc328003f3946eab079d84a07b0f8965_glx_vertical_cover.webp?namespace=gamesdb
Beholder 3	Beholder 3	Beholder 3	When a high-ranking security officer saves you from prison, you end up a pawn in her schemes. Now you must eliminate anyone standing in the way of her secret plans and try to get your life back while working two jobs. No tenant, employee or superior is safe from your spying.	Amazon			Paintbucket Games		Alawar Premium	2025-06-02	2025-06-02				HighPriority		False		https://images.gog.com/48f6cdd4640f73d1a1f195e0c758f7695d1648b9a84e35c4b482515f6a5d0d24_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/5eeee6a23fed2fdced55e8fdec82de4db30a7432a4563673fd2d6bc078d3503a_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/ca20e874d51e84dafbbd1ff531a25df93b85a2dec471054ac0d6908e358ca8d4_glx_vertical_cover.webp?namespace=gamesdb
Bejeweled® 3	Bejeweled® 3	Bejeweled 3	Discover all-new ways to play the world’s #1 puzzle game. Find your perfect match with 8 breathtaking game modes that meet all your moods — ease into Classic Bejeweled for cascades of fun, journey through 40 challenging Quest puzzles, charge into the electrifying Lightning for non-stop action, and tailor your experience in Zen for a revolutionary new way to relax.	Origin	3	78	PopCap Games	"Adventure	Puzzle	Strategy"	PopCap Games	2010-12-07	2010-12-07		1	2014-10-08 21:12:28	Ended		False	"macOS	Windows"	https://images.gog.com/13ba76f63aea2f66ec2ddbe1a77e91ed55b210594a286e9463f96310f62c38ef_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/473813a3a8d003fd1899074281daaa19bef0a6e2dbe98d101c9cf664c2171271_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/1be64790126cd20f3d50431842cd970da6de9c7e234c912d16ad9117557da371_glx_vertical_cover.webp?namespace=gamesdb
Beneath a Steel Sky (1994)	Beneath a Steel Sky (1994)	Beneath a Steel Sky 1994	Beneath a Steel Sky is a cyberpunk, point and click, adventure game. You assume the role of Robert Foster and embark on a quest to make the world a better place, along with your robot companion Joey.	GOG			Revolution Software	"Adventure	Indie	Point-and-click	Puzzle"	"Revolution Software	Virgin Interactive Entertainment (Europe) Ltd.	Virgin Interactive Entertainment, Inc."	1994-04-11	1994-04-11	Science fiction					True	"Linux	macOS	Windows"	https://images.gog.com/2ddb74da4bb18466ea716abfa56674d48858483f6a07e94f16792b4304e16b0c_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/69140ff481409e4f6d553c5bb43ae63d28c3b44a8266408001e196168083c008_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/cfa2550bbfd27506a0b5099423aab3cc0cbfb1ae2edcef4d32a6faa38e7721a6_glx_vertical_cover.webp?namespace=gamesdb
Berserk Boy	Berserk Boy	Berserk Boy	Berserk Boy is a vibrant, retro-inspired 2D action platformer that lets you… GO BERSERK! Change into different forms and use the power of Lightning, Fire, Earth, Air, and Ice as you race through stylish stages in a heroic battle to save the planet from the evil Dr. Genos!	GOG		83	BerserkBoy Games	"Adventure	Arcade	Indie	Platform"	BerserkBoy Games	2024-03-06	2024-03-06	Action					False	Windows	https://images.gog.com/2b12ff7571dcb4c1d81361b867590f1d08f2aa773038dea3e143db0be8877393_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/df7a652c5203d5298fa77ada72de61c81c662ac0ee614c03dd726358c33acb47_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/789d3a94573a1f8209652d0a15193161ec79b62d2d2c803ad28e7c671f6d2a94_glx_vertical_cover.webp?namespace=gamesdb
Berserk Boy - Amazon Prime	Berserk Boy - Amazon Prime	Berserk Boy Amazon Prime	"BERSERK BOY is a high speed action packed Platformer, with Metroidvania elements. Packed with vibrant and stylish pixel art. Go Berserk! as you change into different forms and use the power of Lightning, Fire, Ice, Air, and Earth to save the planet!\n\n\n\n\n<video muted="""" loop="""" preload=""auto"" autoplay=""autoplay"" style=""margin: auto;display:block;width:100%""><source src=""https://items.gog.com/berserk_boy/BerserkBoy_GIF01-0b53e.mp4"" type=""video/mp4""></video>\n\n\nIn the distant future, a mad scientist and his army of darkness seek to enslave the people of Earth. Hope for all humanity rests with The Resistance, but are they enough? Enter Kei, a rookie hero who is transformed by mysterious Orb energy into BERSERK BOY!\n\n\n\nWith high-speed action and the power to defeat evil, BERSERK BOY must face off against the diabolical Dr. Genos and his army of Dark Energy minions. Can he save the world before it's too late? It's time to GO BERSERK!\n\n\n&nbsp;\n\n<video muted="""" loop="""" preload=""auto"" autoplay=""autoplay"" style=""margin: auto;display:block;width:100%""><source src=""https://items.gog.com/berserk_boy/BerserkBoy_GIF02-0e904.mp4"" type=""video/mp4""></video>\n<h4>Features</h4><ul>\n	<li><strong>Unleash your ultimate form:</strong> with the power of the Berserk Orbs - Lightning, Fire, Earth, Air, and Ice - and become a force to be reckoned with!</li>\n\n<video muted="""" loop="""" preload=""auto"" autoplay=""autoplay"" style=""margin: auto;display:block;width:100%""><source src=""https://items.gog.com/berserk_boy/BerserkBoy_GIF03-a1be8.mp4"" type=""video/mp4""></video>\n\n\n	<li><strong>Go Berserk!</strong> Become a master of speed and skill as you chain together combos to fill your Berserk Meter and unleash devastating special attacks! Upgrade your abilities and become an unstoppable force!</li>\n\n\n<video muted="""" loop="""" preload=""auto"" autoplay=""autoplay"" style=""margin: auto;display:block;width:100%""><source src=""https://items.gog.com/berserk_boy/BerserkBoy_GIF04-b803e.mp4"" type=""video/mp4""></video>\n\n\n	<li><strong>Explore the sprawling world of New Hope City!</strong> and beyond, unlock hidden missions along the way. Jump, dash, slam, and slide through multiple stages with Metroidvania elements as you discover alternate paths and hidden collectibles!</li>\n\n\n<video muted="""" loop="""" preload=""auto"" autoplay=""autoplay"" style=""margin: auto;display:block;width:100%""><source src=""https://items.gog.com/berserk_boy/BerserkBoy_GIF05-58a85.mp4"" type=""video/mp4""></video>&n"	GOG						2025-06-02	2025-06-02						False				
Beyond Blue	Beyond Blue	Beyond Blue	Explore and uncover the secrets of Earth’s last uncharted frontier\n\nSet in the near future, players will probe the mysteries of our ocean through the eyes of Mirai, the lead on a newly formed research team that will use groundbreaking technologies to see, hear, and sense the ocean in a more meaningful way than has ever been attempted. The game will feature both an evocative narrative and high level resource management, challenging the player to make high-stakes decisions and prioritize which objectives can be successfully achieved during the crew’s expedition.\n\nEmbracing the same inclusive development process that was used to create Never Alone (Kisima Ingitchuna), E-Line’s BAFTA award-winning game about Alaska Native culture, the company paired world class game makers with some of the field’s leading ocean experts to craft an experience that reflects the awesome wonder and unbounded mystery that infuses our planet’s beating blue heart.	Epic Games Store		70	E-Line Media	"Adventure	Indie	Simulator"	E-Line Media	2020-04-17	2020-04-17	"Action	Kids"			HighPriority		False	Windows	https://images.gog.com/bb9ccd41d06f0dfdfb71b130a6f034dd1639783f67d67a85bb43f86bd6ed7ce0_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/f76a8d2b6fbc119c7e2cdb7e8d91715733dea569cdba83cef7bd407cd4e6ce2d_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/d3fd49a913ef5db2e95cb7478cff44c4301a01198a94c93f1297cd15fc8b7c48_glx_vertical_cover.webp?namespace=gamesdb
Beyond Good and Evil	Beyond Good and Evil	Beyond Good and Evil	Beyond Good & Evil is an action-adventure game with elements of puzzle-solving and stealth-based games. The player controls the protagonist, Jade, from a third-person perspective. Jade can run, move stealthily, jump over obstacles and pits, climb ladders, push or bash doors and objects, and flatten herself against walls. As Jade, the player investigates a number of installations in search of the truth about a war with an alien threat.	Uplay	1	91	Ubisoft Montpellier	"Adventure	Puzzle	Shooter"	Ubisoft Entertainment	2003-11-11	2003-11-11	"Action	Open world	Science fiction	Stealth"			LowPriority		False	Windows	https://images.gog.com/e9ecc4fe793165308cd81967d3e1ec1d0ab76e2eade894dfbac934285f97fa98_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/039adfa11593cb9729bb21fc4757489dfe7349ae032e4e1b6b68424ec025337e_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/ae63b038bbdd1f2b3e0c25d14c7328b9caff5a9a88f91a150bc941f85975894a_glx_vertical_cover.webp?namespace=gamesdb
The Big Con	The Big Con	Big Con	Flex your inner teenager in The Big Con, an adventure game where you hustle across the country as a teen trying to save your family video store. In classic 90s con movie style, you'll get to persuade and pilfer your way to greatness using a whack of potential grifts.	Epic Games Store		78	Mighty Yell	"Adventure	Indie	Point-and-click"	"Mighty Yell	Skybound Games"	2021-08-31	2021-08-31	Comedy			LowPriority		False	Windows	https://images.gog.com/f7a5c7e8cf71a895e4f1c5738952713d3f64ccba7fe22c8a5e1aa457b58bfcee_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/a364a7feb422ebbfe947b2b98e1f98cc9dd68273febb9d1d0024d751f8f71b33_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/b54bb837cc4e16c515366df1e84f2aee0d690b7f6a0514705ed629d41cf6ea6c_glx_vertical_cover.webp?namespace=gamesdb
Binary Domain	Binary Domain	Binary Domain	The Machine Age has begun in the immersive and atmospheric squad-based shooter Binary Domain. Regain control of a futuristic Tokyo from an emerging robotic threat in the year 2080. The story starts when Dan Marshall and his squad are sent to bring the robotic community under control as they begin to infiltrate society and slowly take over undetected, leaving humans redundant in their wake. Fighting through the derelict lower levels of the city, players control an international peace-keeping squad that soon starts to question their surroundings and the choices they make. Are the robots becoming more human, or are humans becoming more like machines?\n\nThrilling encounters with these highly intelligent robotic enemies require you to think tactically, make challenging, real-time moral decisions and build up trust with your team mates in order to guide your squad to safety and success.	Steam		72	Ryu Ga Gotoku Studios	"Puzzle	Shooter"	Sega	2012-04-27	2012-04-27	"Action	Science fiction"			HighPriority		False	Windows	https://images.gog.com/e2a9618f2db469629912e8a59fe6b0e02877e46aeb1235f14729b75aa6e31435_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/e90698edddd1fa512351f1dae451d510818abb3dce8b3d1ec28a9a750b2c307b_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/3331eaf73407a4df04102b9fc634a1047a35d40d339d92b5f7e9c3e526104195_glx_vertical_cover.webp?namespace=gamesdb
The Binding of Isaac: Rebirth	The Binding of Isaac: Rebirth	Binding of Isaac Rebirth	The Binding of Isaac: Rebirth is a top down, procedurally-generated rougelike game, remade based on the original game The Binding of Isaac. You play as Isaac, a little boy who is chased to the basement by his mother who intends to kill Isaac for her savior. You explore different levels, collect items and try to defeat your mother.. and whatever other evil awaits you. If you die, you restart with none of your items you collected, and you must explore the basement and beyond again.	Steam	5	95	"Edmund McMillen	Nicalis, Inc."	"Adventure	Arcade	Role-playing (RPG)	Shooter"	Nicalis, Inc.	2014-11-04	2014-11-04	"Action	Comedy	Drama	Horror"	59042	2025-03-21 11:37:23	Star		False	"Linux	macOS	Windows"	https://images.gog.com/25267008f3c3e0ea25ef2720cad3951f42fd0e234610602d3c23d867205e4357_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/4ebc48799604b04905c4797f7cbdff62105033944329068f5ce831c9a1847791_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/b90ba2a8fcbb340892e35e8bde3a11f12aeca5efdaa5b2478fbefbbee2391613_glx_vertical_cover.webp?namespace=gamesdb
